county,sub_county,constituency,wards
Garissa,Dadaab Refugee Camp,Daadab,Ifo
Garissa,Dadaab Refugee Camp,Daadab,Dagahaley
Garissa,Dadaab Refugee Camp,Daadab,Hagadera Camp
Nairobi,Mathare,Mathare,Kiamaiko
Nairobi,Mathare,Mathare,Mlango Kubwa
Nairobi,Mathare,Mathare,Ngei
Nairobi,Mathare,Mathare,Huruma
Nairobi,Mathare,Mathare,Mabatini
Nairobi,Mathare,Mathare,Hospital
Nairobi,Starehe,Starehe,Nairobi South
Nairobi,Starehe,Starehe,Landimawe
Nairobi,Starehe,Starehe,Ziwani/Kariokor
Nairobi,Starehe,Starehe,Pangani
Nairobi,Starehe,Starehe,Ngara
Nairobi,Starehe,Starehe,Nairobi Central
Nairobi,Kamukunji,Kamukunji,California
Nairobi,Kamukunji,Kamukunji,Airbase
Nairobi,Kamukunji,Kamukunji,Eastleigh South
Nairobi,Kamukunji,Kamukunji,Eastleigh North
Nairobi,Kamukunji,Kamukunji,Pumwani
Nairobi,Makadara,Makadara,Makongeni
Nairobi,Makadara,Makadara,Harambee
Nairobi,Makadara,Makadara,Viwandani
Nairobi,Makadara,Makadara,Maringo/Hamza
Nairobi,Embakasi West,Embakasi West,Kariobangi South
Nairobi,Embakasi West,Embakasi West,Mowlem
Nairobi,Embakasi West,Embakasi West,Umoja II
Nairobi,Embakasi West,Embakasi West,Umoja I
Nairobi,Embakasi East,Embakasi East,Mihango
Nairobi,Embakasi East,Embakasi East,Utawala
Nairobi,Embakasi East,Embakasi East,Embakasi
Nairobi,Embakasi East,Embakasi East,Lower Savannah
Nairobi,Embakasi East,Embakasi East,Upper Savannah
Nairobi,Embakasi Central,Embakasi Central,Matopeni/Spring Valley
Nairobi,Embakasi Central,Embakasi Central,Komarock
Nairobi,Embakasi Central,Embakasi Central,Kayole South
Nairobi,Embakasi Central,Embakasi Central,Kayole Central
Nairobi,Embakasi Central,Embakasi Central,Kayole North
Nairobi,Embakasi North,Embakasi North,Dandora Area Iv
Nairobi,Embakasi North,Embakasi North,Dandora Area III
Nairobi,Embakasi North,Embakasi North,Dandora Area II
Nairobi,Embakasi North,Embakasi North,Dandora Area I
Nairobi,Embakasi North,Embakasi North,Kariobangi North
Nairobi,Embakasi South,Embakasi South,Kware
Nairobi,Embakasi South,Embakasi South,Pipeline
Nairobi,Embakasi South,Embakasi South,Kwa Reuben
Nairobi,Embakasi South,Embakasi South,Kwa Njenga
Nairobi,Embakasi South,Embakasi South,Imara Daima
Nairobi,Ruaraka,Ruaraka,Korogocho
Nairobi,Ruaraka,Ruaraka,Lucky Summer
Nairobi,Ruaraka,Ruaraka,Mathare North
Nairobi,Ruaraka,Ruaraka,Utalii
Nairobi,Ruaraka,Ruaraka,Babandogo
Nairobi,Kasarani,Kasarani,Ruai
Nairobi,Kasarani,Kasarani,Njiru
Nairobi,Kasarani,Kasarani,Kasarani
Nairobi,Kasarani,Kasarani,Mwiki
Nairobi,Kasarani,Kasarani,Clay City
Nairobi,Roysambu,Roysambu,Kahawa
Nairobi,Roysambu,Roysambu,Roysambu
Nairobi,Roysambu,Roysambu,Zimmerman
Nairobi,Roysambu,Roysambu,Kahawa West
Nairobi,Roysambu,Roysambu,Githurai
Nairobi,Kibra,Kibra,Sarang'ombe
Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course
Nairobi,Kibra,Kibra,Makina
Nairobi,Kibra,Kibra,Lindi
Nairobi,Kibra,Kibra,Laini Saba
Nairobi,Langata,Kibra,Nyayo Highrise
Nairobi,Langata,Langata,South C
Nairobi,Langata,Langata,Mugumo-ini
Nairobi,Langata,Langata,Nairobi West
Nairobi,Langata,Langata,Karen
Nairobi,Dagoretti South,Dagoretti South,Waithaka
Nairobi,Dagoretti South,Dagoretti South,Uthiru/Ruthimitu
Nairobi,Dagoretti South,Dagoretti South,Riruta
Nairobi,Dagoretti South,Dagoretti South,Ngando
Nairobi,Dagoretti South,Dagoretti South,Mutu-ini
Nairobi,Dagoretti North,Dagoretti South,Kabiro
Nairobi,Dagoretti North,Dagoretti North,Kileleshwa
Nairobi,Dagoretti North,Dagoretti North,Gatina
Nairobi,Dagoretti North,Dagoretti North,Kawangware
Nairobi,Dagoretti North,Dagoretti North,Kilimani
Nairobi,Westlands,Westlands,Mountain View
Nairobi,Westlands,Westlands,Kangemi
Nairobi,Westlands,Westlands,Karura
Nairobi,Westlands,Westlands,Parklands/Highridge
Nairobi,Westlands,Westlands,Kitisuru
Nyamira,Borabu,Borabu,Esise
Nyamira,Borabu,Borabu,Nyansiongo
Nyamira,Borabu,Borabu,Kiabonyoru
Nyamira,Borabu,Borabu,Mekenene
Nyamira,Nyamira North,North Mugirango,Ekerenyo
Nyamira,Nyamira North,North Mugirango,Magwagwa
Nyamira,Nyamira North,North Mugirango,Bokeira
Nyamira,Nyamira North,North Mugirango,Bomwagamo
Nyamira,Nyamira North,North Mugirango,Itibo
Nyamira,Nyamira,West Mugirango,Township
Nyamira,Nyamira,West Mugirango,Bonyamatuta
Nyamira,Nyamira,West Mugirango,Bosamaro
Nyamira,Nyamira,West Mugirango,Bogichora
Nyamira,Nyamira,West Mugirango,Nyamaiya
Nyamira,Masaba North,Kitutu Masaba,Gesima
Nyamira,Manga,Kitutu Masaba,Manga
Nyamira,Manga,Kitutu Masaba,Magombo
Nyamira,Manga,Kitutu Masaba,Kamera
Nyamira,Masaba North,Kitutu Masaba,Gachuba
Nyamira,Masaba North,Kitutu Masaba,Rigoma
Kisii,Kitutu Chache South,Kitutu Chache South,Nyatieko
Kisii,Kitutu Chache South,Kitutu Chache South,Kitutu Central
Kisii,Kitutu Chache South,Kitutu Chache South,Nyakoe
Kisii,Kitutu Chache South,Kitutu Chache South,Bogeka
Kisii,Kitutu Chache South,Kitutu Chache South,Bogusero
Kisii,Kitutu Chache North,Kitutu Chache North,Kegogi
Kisii,Kitutu Chache North,Kitutu Chache North,Marani
Kisii,Kitutu Chache North,Kitutu Chache North,Sensi
Kisii,Kitutu Chache North,Kitutu Chache North,Monyerero
Kisii,Nyaribari Chache,Nyaribari Chache,Ibeno
Kisii,Nyaribari Chache,Nyaribari Chache,Birongo
Kisii,Nyaribari Chache,Nyaribari Chache,Kiogoro
Kisii,Nyaribari Chache,Nyaribari Chache,Keumbu
Kisii,Nyaribari Chache,Nyaribari Chache,Kisii Central
Kisii,Nyaribari Chache,Nyaribari Chache,Bobaracho
Kisii,Nyaribari Masaba,Nyaribari Masaba,Kiamokama
Kisii,Nyaribari Masaba,Nyaribari Masaba,Gesusu
Kisii,Nyaribari Masaba,Nyaribari Masaba,Masimba
Kisii,Nyaribari Masaba,Nyaribari Masaba,Nyamasibi
Kisii,Nyaribari Masaba,Nyaribari Masaba,Ichuni
Kisii,Bomachoge Chache,Bomachoge Chache,Bosoti/Sengera
Kisii,Bomachoge Chache,Bomachoge Chache,Boochi/Tendere
Kisii,Bomachoge Chache,Bomachoge Chache,Majoge Basi
Kisii,Bobasi,Bobasi,Bobasi/Boitangare
Kisii,Bobasi,Bobasi,Sameta/Mokwerero
Kisii,Bobasi,Bobasi,Bobasi Chache
Kisii,Bobasi,Bobasi,Bassi Bogetaorio
Kisii,Bobasi,Bobasi,Nyacheki
Kisii,Bobasi,Bobasi,Basi Central
Kisii,Bobasi,Bobasi,Masige East
Kisii,Bobasi,Bobasi,Masige West
Kisii,Bomachoge Borabu,Bomachoge Borabu,Magenche
Kisii,Bomachoge Borabu,Bomachoge Borabu,Bokimonge
Kisii,Bomachoge Borabu,Bomachoge Borabu,Boochi Borabu
Kisii,Bomachoge Borabu,Bomachoge Borabu,Bombaba Borabu
Kisii,South Mugirango,South Mugirango,Getenga
Kisii,South Mugirango,South Mugirango,Moticho
Kisii,South Mugirango,South Mugirango,Borabu/Chitago
Kisii,South Mugirango,South Mugirango,Bogetenga
Kisii,South Mugirango,South Mugirango,Boikanga
Kisii,South Mugirango,South Mugirango,Tabaka
Kisii,Bonchari,Bonchari,Riana
Kisii,Bonchari,Bonchari,Bomorenda
Kisii,Bonchari,Bonchari,Bogiakumu
Kisii,Bonchari,Bonchari,Bomariba
Migori,Kuria East,Kuria East,Nyabasi West
Migori,Kuria East,Kuria East,Nyabasi East
Migori,Kuria East,Kuria East,Ntimaru East
Migori,Kuria East,Kuria East,Ntimaru West
Migori,Kuria East,Kuria East,Gokeharaka/Getambwega
Migori,Kuria West,Kuria West,Nyanmosense/Komosoko
Migori,Kuria West,Kuria West,Tagare
Migori,Kuria West,Kuria West,Masaba
Migori,Kuria West,Kuria West,Mokerero
Migori,Kuria West,Kuria West,Isibania
Migori,Kuria West,Kuria West,Bukira Central/Ikerege
Migori,Kuria West,Kuria West,Bukira East
Migori,Nyatike,Nyatike,Muhuru
Migori,Nyatike,Nyatike,Got Kachola
Migori,Nyatike,Nyatike,Kaler
Migori,Nyatike,Nyatike,Macalder/Kanyarwanda
Migori,Nyatike,Nyatike,North Kadem
Migori,Nyatike,Nyatike,Kanyasa
Migori,Nyatike,Nyatike,Kachien'g
Migori,Uriri,Uriri,East Kanyamkago
Migori,Uriri,Uriri,South Kanyamkago
Migori,Uriri,Uriri,Central Kanyamkago
Migori,Uriri,Uriri,North Kanyamkago
Migori,Uriri,Uriri,West Kanyamkago
Migori,Suna West,Suna West,Wasimbete
Migori,Suna West,Suna West,Ragana-oruba
Migori,Suna West,Suna West,Waseweta II
Migori,Suna West,Suna West,Wiga
Migori,Suna East,Suna East,Kwa
Migori,Suna East,Suna East,Kakrao
Migori,Suna East,Suna East,Suna Central
Migori,Suna East,Suna East,God Jope
Migori,Awendo,Awendo,Central Sakwa
Migori,Awendo,Awendo,West Sakwa
Migori,Awendo,Awendo,South Sakwa
Migori,Awendo,Awendo,North Sakwa
Migori,Rongo,Rongo,South Kamagambo
Migori,Rongo,Rongo,East Kamagambo
Migori,Rongo,Rongo,Central Kamagambo
Migori,Rongo,Rongo,North Kamagambo
Homa Bay,Suba South,Suba,Ruma-kaksingiri East
Homa Bay,Suba South,Suba,Kaksingiri West
Homa Bay,Suba South,Suba,Gwassi North
Homa Bay,Suba South,Suba,Gwassi South
Homa Bay,Mbita,Mbita,Lambwe
Homa Bay,Mbita,Mbita,Gembe
Homa Bay,Mbita,Mbita,Kasgunga
Homa Bay,Mbita,Mbita,Rusinga Island
Homa Bay,Suba Central,Mbita,Mfangano Island
Homa Bay,Ndhiwa,Ndhiwa,Kanyamwa Kosewe
Homa Bay,Ndhiwa,Ndhiwa,Kanyamwa Kologi
Homa Bay,Ndhiwa,Ndhiwa,Kabuoch South/Pala
Homa Bay,Ndhiwa,Ndhiwa,Kabouch North
Homa Bay,Ndhiwa,Ndhiwa,Kanyikela
Homa Bay,Ndhiwa,Ndhiwa,Kanyadoto
Homa Bay,Ndhiwa,Ndhiwa,Kwabwai
Homa Bay,Homa Bay Town,Homa Bay Town,Homa Bay East
Homa Bay,Homa Bay Town,Homa Bay Town,Homa Bay West
Homa Bay,Homa Bay Town,Homa Bay Town,Homa Bay Arujo
Homa Bay,Homa Bay Town,Homa Bay Town,Homa Bay Central
Homa Bay,Rangwe,Rangwe,Kochia
Homa Bay,Rangwe,Rangwe,Kagan
Homa Bay,Rangwe,Rangwe,East Gem
Homa Bay,Rangwe,Rangwe,West Gem
Homa Bay,Karachuonyo,Karachuonyo,Kendu Bay Town
Homa Bay,Karachuonyo,Karachuonyo,Wang'chieng
Homa Bay,Karachuonyo,Karachuonyo,Kibiri
Homa Bay,Karachuonyo,Karachuonyo,Kanyaluo
Homa Bay,Karachuonyo,Karachuonyo,Central
Homa Bay,Karachuonyo,Karachuonyo,North Karachuonyo
Homa Bay,Karachuonyo,Karachuonyo,West Karachuonyo
Homa Bay,Kabondo Kasipul,Kabondo Kasipul,Kojwach
Homa Bay,Kabondo Kasipul,Kabondo Kasipul,Kokwanyo/Kakelo
Homa Bay,Kabondo Kasipul,Kabondo Kasipul,Kabondo West
Homa Bay,Kabondo Kasipul,Kabondo Kasipul,Kabondo East
Homa Bay,Rachuonyo South,Kasipul,West Kamagak
Homa Bay,Rachuonyo South,Kasipul,East Kamagak
Homa Bay,Rachuonyo South,Kasipul,Central Kasipul
Homa Bay,Rachuonyo South,Kasipul,South Kasipul
Homa Bay,Rachuonyo South,Kasipul,West Kasipul
Kisumu,Nyakach,Nyakach,South East Nyakach
Kisumu,Nyakach,Nyakach,West Nyakach
Kisumu,Nyakach,Nyakach,Central Nyakach
Kisumu,Nyakach,Nyakach,North Nyakach
Kisumu,Nyakach,Nyakach,South West Nyakach
Kisumu,Muhoroni,Muhoroni,Muhoroni Koru
Kisumu,Muhoroni,Muhoroni,Chemelil
Kisumu,Muhoroni,Muhoroni,Masogo/Nyang'oma
Kisumu,Muhoroni,Muhoroni,Ombeyi
Kisumu,Muhoroni,Muhoroni,Miwani
Kisumu,Nyando,Nyando,Kobura
Kisumu,Nyando,Nyando,Kabonyo/Kanyagwai
Kisumu,Nyando,Nyando,Ahero
Kisumu,Nyando,Nyando,Awasi/Onjiko
Kisumu,Nyando,Nyando,East Kano/Wawidhi
Kisumu,Seme,Seme,North Seme
Kisumu,Seme,Seme,East Seme
Kisumu,Seme,Seme,Central Seme
Kisumu,Seme,Seme,West Seme
Kisumu,Kisumu Central,Kisumu Central,Nyalenda B
Kisumu,Kisumu Central,Kisumu Central,Kondele
Kisumu,Kisumu Central,Kisumu Central,Market Milimani
Kisumu,Kisumu Central,Kisumu Central,Shauri Moyo Kaloleni
Kisumu,Kisumu Central,Kisumu Central,Migosi
Kisumu,Kisumu Central,Kisumu Central,Railways
Kisumu,Kisumu West,Kisumu West,North West Kisumu
Kisumu,Kisumu West,Kisumu West,West Kisumu
Kisumu,Kisumu West,Kisumu West,Kisumu North
Kisumu,Kisumu West,Kisumu West,Central Kisumu
Kisumu,Kisumu West,Kisumu West,South West Kisumu
Kisumu,Kisumu East,Kisumu East,Kolwa Central
Kisumu,Kisumu Central,Kisumu Central,Nyalenda A
Kisumu,Kisumu East,Kisumu East,Manyatta B
Kisumu,Kisumu East,Kisumu East,Kolwa East
Kisumu,Kisumu East,Kisumu East,Kajulu
Siaya,Rarieda,Rarieda,West Uyoma
Siaya,Rarieda,Rarieda,South Uyoma
Siaya,Rarieda,Rarieda,North Uyoma
Siaya,Rarieda,Rarieda,West Asembo
Siaya,Rarieda,Rarieda,East Asembo
Siaya,Bondo,Bondo,North Sakwa
Siaya,Bondo,Bondo,West Sakwa
Siaya,Bondo,Bondo,Yimbo East
Siaya,Bondo,Bondo,South Sakwa
Siaya,Bondo,Bondo,Central Sakwa
Siaya,Bondo,Bondo,West Yimbo
Siaya,Gem,Gem,South Gem
Siaya,Gem,Gem,East Gem
Siaya,Gem,Gem,Yala Township
Siaya,Gem,Gem,Central Gem
Siaya,Gem,Gem,West Gem
Siaya,Gem,Gem,North Gem
Siaya,Alego Usonga,Alego Usonga,South East Alego
Siaya,Alego Usonga,Alego Usonga,North Alego
Siaya,Alego Usonga,Alego Usonga,Siaya Township
Siaya,Alego Usonga,Alego Usonga,Central Alego
Siaya,Alego Usonga,Alego Usonga,West Alego
Siaya,Alego Usonga,Alego Usonga,Usonga
Siaya,Ugunja,Ugunja,Ugunja
Siaya,Ugunja,Ugunja,Sigomere
Siaya,Ugunja,Ugunja,Sidindi
Siaya,Ugenya,Ugenya,East Ugenya
Siaya,Ugenya,Ugenya,North Ugenya
Siaya,Ugenya,Ugenya,Ukwala
Siaya,Ugenya,Ugenya,West Ugenya
Busia,Bunyala,Budalangi,Bunyala South
